employee_id,date,check_in,check_out,status
101,2026-08-01,09:45,18:00,Present
101,2026-08-02,09:45,18:00,Present
101,2026-08-03,10:15,18:15,Late
101,2026-08-04,09:45,18:00,Present
101,2026-08-05,09:45,18:00,Present
101,2026-08-06,,,Absent
101,2026-08-07,09:45,18:00,Present
101,2026-08-08,09:45,18:00,Present
101,2026-08-09,10:15,18:15,Late
101,2026-08-10,09:45,18:00,Present
102,2026-08-01,09:45,18:00,Present
102,2026-08-02,09:45,18:00,Present
102,2026-08-03,09:45,18:00,Present
102,2026-08-04,09:45,18:00,Present
102,2026-08-05,10:15,18:15,Late
102,2026-08-06,09:45,18:00,Present
102,2026-08-07,09:45,18:00,Present
102,2026-08-08,,,Absent
102,2026-08-09,09:45,18:00,Present
102,2026-08-10,09:45,18:00,Present
103,2026-08-01,09:45,18:00,Present
103,2026-08-02,10:15,18:15,Late
103,2026-08-03,09:45,18:00,Present
103,2026-08-04,09:45,18:00,Present
103,2026-08-05,09:45,18:00,Present
103,2026-08-06,09:45,18:00,Present
103,2026-08-07,,,Absent
103,2026-08-08,09:45,18:00,Present
103,2026-08-09,09:45,18:00,Present
103,2026-08-10,10:15,18:15,Late
104,2026-08-01,09:45,18:00,Present
104,2026-08-02,09:45,18:00,Present
104,2026-08-03,09:45,18:00,Present
104,2026-08-04,10:15,18:15,Late
104,2026-08-05,09:45,18:00,Present
104,2026-08-06,09:45,18:00,Present
104,2026-08-07,09:45,18:00,Present
104,2026-08-08,09:45,18:00,Present
104,2026-08-09,,,Absent
104,2026-08-10,09:45,18:00,Present
105,2026-08-01,09:45,18:00,Present
105,2026-08-02,09:45,18:00,Present
105,2026-08-03,10:15,18:15,Late
105,2026-08-04,09:45,18:00,Present
105,2026-08-05,09:45,18:00,Present
105,2026-08-06,,,Absent
105,2026-08-07,09:45,18:00,Present
105,2026-08-08,09:45,18:00,Present
105,2026-08-09,10:15,18:15,Late
105,2026-08-10,09:45,18:00,Present
106,2026-08-01,09:45,18:00,Present
106,2026-08-02,09:45,18:00,Present
106,2026-08-03,09:45,18:00,Present
106,2026-08-04,09:45,18:00,Present
106,2026-08-05,10:15,18:15,Late
106,2026-08-06,09:45,18:00,Present
106,2026-08-07,09:45,18:00,Present
106,2026-08-08,,,Absent
106,2026-08-09,09:45,18:00,Present
106,2026-08-10,09:45,18:00,Present
107,2026-08-01,09:45,18:00,Present
107,2026-08-02,10:15,18:15,Late
107,2026-08-03,09:45,18:00,Present
107,2026-08-04,09:45,18:00,Present
107,2026-08-05,09:45,18:00,Present
107,2026-08-06,09:45,18:00,Present
107,2026-08-07,,,Absent
107,2026-08-08,09:45,18:00,Present
107,2026-08-09,09:45,18:00,Present
107,2026-08-10,10:15,18:15,Late
108,2026-08-01,09:45,18:00,Present
108,2026-08-02,09:45,18:00,Present
108,2026-08-03,09:45,18:00,Present
108,2026-08-04,10:15,18:15,Late
108,2026-08-05,09:45,18:00,Present
108,2026-08-06,09:45,18:00,Present
108,2026-08-07,09:45,18:00,Present
108,2026-08-08,09:45,18:00,Present
108,2026-08-09,,,Absent
108,2026-08-10,09:45,18:00,Present
109,2026-08-01,09:45,18:00,Present
109,2026-08-02,09:45,18:00,Present
109,2026-08-03,10:15,18:15,Late
109,2026-08-04,09:45,18:00,Present
109,2026-08-05,09:45,18:00,Present
109,2026-08-06,,,Absent
109,2026-08-07,09:45,18:00,Present
109,2026-08-08,09:45,18:00,Present
109,2026-08-09,10:15,18:15,Late
109,2026-08-10,09:45,18:00,Present
110,2026-08-01,09:45,18:00,Present
110,2026-08-02,09:45,18:00,Present
110,2026-08-03,09:45,18:00,Present
110,2026-08-04,09:45,18:00,Present
110,2026-08-05,10:15,18:15,Late
110,2026-08-06,09:45,18:00,Present
110,2026-08-07,09:45,18:00,Present
110,2026-08-08,,,Absent
110,2026-08-09,09:45,18:00,Present
110,2026-08-10,09:45,18:00,Present
